date,covid_1,sars_1
20200101,555,167
20200102,653,219
20200103,941,264
20200104,1438,306
20200105,2118,350
20200106,2927,386
20200107,5578,456
20200108,6165,487
20200109,8235,1323
20200110,9925,1408
20200111,12038,1485
20200112,16787,1550
20200113,19881,1622
20200114,23892,1804
20200115,27636,2223
20200116,30818,2270
20200117,34392,2353
20200118,37121,2416
20200119,40151,2601
20200120,42763,2671
20200121,44803,2722
20200122,45222,2781
20200123,60370,2890
20200124,66887,2960
20200125,69032,3169
20200126,71226,3235
20200127,73260,3293
20200128,75138,3389
20200129,75641,3547
20200130,76199,3547
20200131,76843,3861
20200201,78599,3947
20200202,78985,4288
20200203,79570,4439
20200204,80415,4649
20200205,81397,4836
20200206,82756,5050
20200207,84124,5462
20200208,86013,5663
20200209,88371,5865
20200210,90309,6054
20200211,92844,6234
20200212,95124,6583
20200213,97886,6727
20200214,101800,6903
20200215,105836,7053
20200216,109835,7183
20200217,113582,7296
20200218,118582,7447
20200219,125865,7548
20200220,128343,7628
20200221,145193,7699
20200222,156099,7739
20200223,167447,7761
